"species","model","auc","cbi"
"Pagrus auriga","LASSO NAIVE",0.966880504528111,0.612692881761545
"Pagrus auriga","MAXNET",0.895281035197282,-0.109641597718822
"Pagrus auriga","RF DOWNSAMPLED",0.953465676653485,0.323474482827425
"Pagrus pagrus","BRT NAIVE",0.972746252597653,0.777739636884367
"Pagrus pagrus","LASSO NAIVE",0.961432105198616,0.890043147453127
"Pagrus pagrus","MAXNET",0.967894842783716,0.661425451911456
"Pagrus pagrus","RF DOWNSAMPLED",0.97430483659012,0.86779614858342
"Hippoglossus hippoglossus","BRT NAIVE",0.920692380397022,0.782568486083068
"Hippoglossus hippoglossus","LASSO NAIVE",0.895575430344698,0.804479951552787
"Hippoglossus hippoglossus","MAXNET",0.913270607382923,0.82476829787062
"Hippoglossus hippoglossus","RF DOWNSAMPLED",0.932190501618938,0.908775264448773
"Solea solea","BRT NAIVE",0.981233692927279,0.905828208095467
"Solea solea","LASSO NAIVE",0.974834700433533,0.912348031144036
"Solea solea","MAXNET",0.979879501193139,0.907848817450489
"Solea solea","RF DOWNSAMPLED",0.983391652828233,0.944411815518989
