"species","model","jacc"
"Hippoglossus hippoglossus","STD LASSO NAIVE",0.253579726389394
"Hippoglossus hippoglossus","STD MAXNET",0.245732824455849
"Hippoglossus hippoglossus","AGG BRT NAIVE",0.221855116846049
"Hippoglossus hippoglossus","STD RF DOWNSAMPLED",0.0903113762211653
"Pagrus auriga","STD LASSO NAIVE",0.314887931034483
"Pagrus auriga","STD MAXNET",0.279155941504257
"Pagrus auriga","AGG BRT NAIVE",NA
"Pagrus auriga","STD RF DOWNSAMPLED",0.0520648312611012
"Pagrus pagrus","STD LASSO NAIVE",0.487486407801045
"Pagrus pagrus","STD MAXNET",0.337377816693769
"Pagrus pagrus","AGG BRT NAIVE",0.446428261284888
"Pagrus pagrus","STD RF DOWNSAMPLED",0.0558339693428106
"Solea solea","STD LASSO NAIVE",0.302589737072496
"Solea solea","STD MAXNET",0.248633973479652
"Solea solea","AGG BRT NAIVE",0.255426917510854
"Solea solea","STD RF DOWNSAMPLED",0.0972130312311503
